#PSTAR: Stopping Powers and Range Tables for Protons
#ARGON                                                                   
#Kinetic   Projected 
#Energy    Range     
#MeV       g/cm2     

1.000E-03 4.206E-06 
1.500E-03 6.141E-06 
2.000E-03 8.047E-06 
2.500E-03 9.911E-06 
3.000E-03 1.174E-05 
4.000E-03 1.527E-05 
5.000E-03 1.867E-05 
6.000E-03 2.194E-05 
7.000E-03 2.509E-05 
8.000E-03 2.813E-05 
9.000E-03 3.109E-05 
1.000E-02 3.395E-05 
1.250E-02 4.082E-05 
1.500E-02 4.737E-05 
1.750E-02 5.365E-05 
2.000E-02 5.971E-05 
2.250E-02 6.556E-05 
2.500E-02 7.126E-05 
2.750E-02 7.680E-05 
3.000E-02 8.223E-05 
3.500E-02 9.277E-05 
4.000E-02 1.030E-04 
4.500E-02 1.130E-04 
5.000E-02 1.228E-04 
5.500E-02 1.324E-04 
6.000E-02 1.420E-04 
6.500E-02 1.516E-04 
7.000E-02 1.611E-04 
7.500E-02 1.707E-04 
8.000E-02 1.803E-04 
8.500E-02 1.899E-04 
9.000E-02 1.997E-04 
9.500E-02 2.095E-04 
1.000E-01 2.194E-04 
1.250E-01 2.708E-04 
1.500E-01 3.260E-04 
1.750E-01 3.854E-04 
2.000E-01 4.491E-04 
2.250E-01 5.172E-04 
2.500E-01 5.895E-04 
2.750E-01 6.660E-04 
3.000E-01 7.465E-04 
3.500E-01 9.189E-04 
4.000E-01 1.106E-03 
4.500E-01 1.306E-03 
5.000E-01 1.518E-03 
5.500E-01 1.743E-03 
6.000E-01 1.979E-03 
6.500E-01 2.226E-03 
7.000E-01 2.483E-03 
7.500E-01 2.751E-03 
8.000E-01 3.029E-03 
8.500E-01 3.316E-03 
9.000E-01 3.614E-03 
9.500E-01 3.922E-03 
1.000E+00 4.240E-03 
1.250E+00 5.979E-03 
1.500E+00 7.960E-03 
1.750E+00 1.017E-02 
2.000E+00 1.260E-02 
2.250E+00 1.524E-02 
2.500E+00 1.809E-02 
2.750E+00 2.115E-02 
3.000E+00 2.440E-02 
3.500E+00 3.149E-02 
4.000E+00 3.934E-02 
4.500E+00 4.793E-02 
5.000E+00 5.724E-02 
5.500E+00 6.726E-02 
6.000E+00 7.798E-02 
6.500E+00 8.937E-02 
7.000E+00 1.014E-01 
7.500E+00 1.142E-01 
8.000E+00 1.276E-01 
8.500E+00 1.416E-01 
9.000E+00 1.563E-01 
9.500E+00 1.716E-01 
1.000E+01 1.875E-01 
1.250E+01 2.764E-01 
1.500E+01 3.801E-01 
1.750E+01 4.981E-01 
2.000E+01 6.301E-01 
2.500E+01 9.342E-01 
2.750E+01 1.106E+00 
3.000E+01 1.290E+00 
3.500E+01 1.695E+00 
4.000E+01 2.149E+00 
4.500E+01 2.649E+00 
5.000E+01 3.193E+00 
5.500E+01 3.782E+00 
6.000E+01 4.413E+00 
6.500E+01 5.086E+00 
7.000E+01 5.799E+00 
7.500E+01 6.552E+00 
8.000E+01 7.344E+00 
8.500E+01 8.173E+00 
9.000E+01 9.040E+00 
9.500E+01 9.942E+00 
1.000E+02 1.088E+01 
1.250E+02 1.608E+01 
1.500E+02 2.207E+01 
1.750E+02 2.877E+01 
2.000E+02 3.614E+01 
2.250E+02 4.411E+01 
2.500E+02 5.264E+01 
2.750E+02 6.168E+01 
3.000E+02 7.120E+01 
3.500E+02 9.154E+01 
4.000E+02 1.134E+02 
4.500E+02 1.366E+02 
5.000E+02 1.610E+02 
5.500E+02 1.863E+02 
6.000E+02 2.126E+02 
6.500E+02 2.396E+02 
7.000E+02 2.674E+02 
7.500E+02 2.957E+02 
8.000E+02 3.246E+02 
8.500E+02 3.539E+02 
9.000E+02 3.837E+02 
9.500E+02 4.138E+02 
1.000E+03 4.443E+02 
1.500E+03 7.611E+02 
2.000E+03 1.088E+03 
2.500E+03 1.416E+03 
3.000E+03 1.743E+03 
4.000E+03 2.388E+03 
5.000E+03 3.018E+03 
6.000E+03 3.636E+03 
7.000E+03 4.242E+03 
8.000E+03 4.838E+03 
9.000E+03 5.424E+03 
1.000E+04 6.001E+03 
